Student Number,Student Age,Average Study Hours,Student Mark,Percentage,Examination Time
54,19,1,52,40,116
117,19,1,68,52,117
78,19,1,89,68,36
128,19,1,98,75,105
75,19,1,94,72,108
87,19,1.04127146,77,59,58
42,19,1,93,72,108
148,19,1,61,47,62
9,19,1.46105608,65,50,117
53,19,1.298477053,39,30,123
137,19,1.120421223,16,12,112
130,19,2.175806351,109,84,107
19,20,1.18766311,65,50,94
26,20,2.427163463,33,25,104
143,20,2.205551873,34,26,137
141,21,1.194950847,33,25,88
48,21,1.537494658,63,48,150
95,22,2.232765408,91,70,105
77,22,1.817707759,51,39,78
39,22,1.585077683,24,18,55
126,22,1.652269012,83,64,42
112,23,2.151453485,28,22,108
58,23,2.631417897,20,15,151
134,23,2.636048618,96,74,96
64,23,2.83051757,25,19,152
106,23,2.183308195,51,39,45
96,23,1.663575758,17,13,132
144,24,1.631544686,94,72,124
140,24,2.600494632,80,62,135
108,24,2.334592619,37,28,115
92,24,2.526015073,34,26,169
107,24,2.846715011,39,30,72
16,24,1.61047358,55,42,123
65,24,2.726740333,39,30,91
129,25,1.634003125,21,16,80
41,25,2.619783331,20,15,76
101,25,2.533120253,112,86,106
28,25,1.768243698,82,63,107
0,25,1.415854196,22,17,149
35,26,2.706632167,54,42,110
132,26,1.866838225,34,26,152
24,26,1.848061536,50,38,100
99,26,1.60680633,96,74,88
93,26,1.253938818,83,64,74
36,26,2.248111745,78,60,93
63,27,2.182417293,21,16,85
23,27,1.277644736,27,21,82
69,27,2.124143939,37,28,165
8,27,2.559787969,31,24,140
1,28,2.387552463,110,85,115
90,28,2.255201816,86,66,85
118,28,1.378066683,66,51,138
44,28,3.145287874,35,27,164
80,28,2.516070163,84,65,137
94,28,3.03455989,34,26,89
114,28,1.786099948,37,28,114
124,29,1.418390316,79,61,74
32,29,1.36886529,9,7,130
71,29,1.962284063,62,48,158
119,29,1.914968194,91,70,73
113,29,2.340663569,96,74,125
97,29,1.438486403,45,35,160
70,30,1.948589638,39,30,115
116,30,3.042432952,36,28,159
127,30,1.660351081,57,44,112
12,30,2.690455491,88,68,116
4,30,1.684240271,20,15,139
5,31,1.573478454,108,83,69
103,31,3.407801046,38,29,163
110,31,1.498442203,44,34,147
136,31,1.889523228,84,65,101
40,31,3.08170362,23,18,122
91,32,3.257528144,100,77,101
52,32,3.273662085,80,62,90
139,32,1.680100411,82,63,121
105,32,2.136506278,31,24,117
46,32,1.853537629,26,20,136
13,32,1.725240583,108,83,113
104,32,3.126628945,41,32,118
20,33,3.42352514,92,71,97
7,33,3.501831672,23,18,85
89,33,1.753256406,64,49,142
109,34,3.409237722,111,85,73
50,34,3.669624999,69,53,91
30,34,3.103549215,39,30,67
83,35,3.029403426,106,82,131
147,35,2.886930077,91,70,128
22,35,2.610758577,18,14,94
145,35,1.915899612,103,79,86
55,36,2.069318081,86,66,94
59,36,2.140423579,83,64,68
27,36,2.489146711,72,55,134
57,36,3.636932357,103,79,127
45,37,3.937833948,66,51,70
82,37,2.417564666,62,48,85
133,37,2.509590263,93,72,91
84,37,3.677298031,118,91,96
88,37,3.910785434,120,92,107
56,38,2.846939681,46,35,136
79,38,3.917028394,55,42,79
125,38,2.939029555,54,42,110
76,39,3.40865323,46,35,123
47,39,2.170527891,13,10,166
121,39,3.538211928,27,21,92
81,39,3.196295034,22,17,157
11,39,2.912235585,23,18,162
100,39,2.249813965,44,34,110
66,40,3.631661746,77,59,70
17,40,2.427920618,55,42,119
86,40,2.578058906,69,53,140
61,41,2.794605774,16,12,73
15,41,2.573031359,71,55,157
62,41,2.675101796,48,37,52
2,41,3.528059973,46,35,137
85,42,3.967136695,109,84,63
29,42,3.152883758,75,58,73
33,42,3.70274466,93,72,105
115,42,2.400859938,112,86,61
146,43,3.060567414,104,80,144
37,43,3.578542799,28,22,111
34,43,2.684671842,63,48,99
72,44,3.353796814,114,88,81
67,44,2.753459022,18,14,68
43,45,3.515699024,103,79,87
98,45,2.9697351,104,80,106
74,45,4.481414077,81,62,73
18,45,4.167928574,101,78,143
138,45,2.955577497,20,15,69
60,46,3.593395071,59,45,95
102,46,4.249733437,29,22,170
6,46,3.882103782,122,94,136
149,46,3.355509294,48,37,119
111,47,3.10962779,24,18,83
21,47,2.946880754,112,86,136
25,47,4.274572081,79,61,68
68,48,4.428618124,113,87,73
122,48,2.923475625,66,51,77
73,48,3.126505022,94,72,149
49,49,4.405349155,96,74,101
142,49,3.074170809,43,33,89
38,49,3.622427006,61,47,129
120,49,3.289253676,19,15,64
51,49,3.165019963,116,89,133
3,49,4.506546466,111,85,113
123,49,3.433215134,40,31,83
14,49,3.499259281,54,42,96
10,50,3.02926975,55,42,111
131,50,4.255123705,112,86,63
31,50,4.761584121,51,39,69
135,50,4.392616544,40,31,149
